testing: 12 threads
running ans_2opt_omp2
Working on ../as_1/dis_dir/test11.dis
OpenMP version of ans_2opt_sp11.c
* Balanced search space division/Proper/Partial distance compare/Copy when swapping
* OpenMP Distributed route/Free to swap/Contention pause
Using  12 threads
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:00 = 303218321242.247253
Distance @  2:30 = 270299894545.262878
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  2:30 = 270299750432.713135
Distance @  3:00 = 245837791370.019745
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:00 = 245834333499.137573
Distance @  3:30 = 226671183490.120880
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
